OAI_ID ; DOC_ID ; AS ; URI ; PREFLABEL ; SCORE
oai:beeldengeluid.nl:Expressie:4199055;/14263/14283/391736/4199055;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27948;auto's;2
oai:beeldengeluid.nl:Expressie:4199055;/14263/14283/391736/4199055;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27822;vogels;2
oai:beeldengeluid.nl:Expressie:4189448;/14263/14283/391736/4189448;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26778;spieren;8
oai:beeldengeluid.nl:Expressie:4189448;/14263/14283/391736/4189448;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25890;honden;4
oai:beeldengeluid.nl:Expressie:4189448;/14263/14283/391736/4189448;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27278;vlinders;3
oai:beeldengeluid.nl:Expressie:4196362;/349879/354662/392391/4196362;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29075;angst;2
oai:beeldengeluid.nl:Expressie:4196362;/349879/354662/392391/4196362;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25975;infrastructuur;2
oai:beeldengeluid.nl:Expressie:4196362;/349879/354662/392391/4196362;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/104951;Haring, Bas;3
oai:beeldengeluid.nl:Expressie:4197238;/336830/341515/392619/4197238;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29501;vooroordelen;2
oai:beeldengeluid.nl:Expressie:4197238;/336830/341515/392619/4197238;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/131826;Menger, Truus;2
oai:beeldengeluid.nl:Expressie:4198905;/349879/355915/392012/4198905;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27788;melk;11
oai:beeldengeluid.nl:Expressie:4198905;/349879/355915/392012/4198905;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28826;koeien;8
oai:beeldengeluid.nl:Expressie:4198905;/349879/355915/392012/4198905;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28597;dochters;6
oai:beeldengeluid.nl:Expressie:4198905;/349879/355915/392012/4198905;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26776;sperma;4
oai:beeldengeluid.nl:Expressie:4198905;/349879/355915/392012/4198905;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27326;vuur;3
oai:beeldengeluid.nl:Expressie:4198905;/349879/355915/392012/4198905;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25218;katholicisme;2
oai:beeldengeluid.nl:Expressie:4198905;/349879/355915/392012/4198905;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27089;operaties;2
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26526;planeten;14
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25854;heelal;9
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26914;telescopen;3
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29513;nacht;2
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28669;buitenaards leven;3
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/150590;Schilling, Govert;4
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/138277;Oldenbarnevelt, Johan van;3
oai:beeldengeluid.nl:Expressie:4200465;/349879/355915/392012/4200465;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/34460;Drenthe;2
oai:beeldengeluid.nl:Expressie:4198468;/312231/316396/392307/4198468;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25121;christenen;2
oai:beeldengeluid.nl:Expressie:4198468;/312231/316396/392307/4198468;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/42578;Sint-Maarten;3
oai:beeldengeluid.nl:Expressie:4198468;/312231/316396/392307/4198468;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/36206;Hengelo;2
oai:beeldengeluid.nl:Expressie:4189598;/11655/45520/392287/4189598;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25593;eenzaamheid;4
oai:beeldengeluid.nl:Expressie:4189598;/11655/45520/392287/4189598;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/43521;Tilburg;2
