OAI_ID ; DOC_ID ; AS ; URI ; PREFLABEL ; SCORE
oai:beeldengeluid.nl:Expressie:4238035;/16414/16435/16435/4238035;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/98440;Federer, Roger;2
oai:beeldengeluid.nl:Expressie:4238035;/16414/16435/16435/4238035;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/36846;Japan;2
oai:beeldengeluid.nl:Expressie:4237908;/70509/71189/391571/4237908;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28597;dochters;2
oai:beeldengeluid.nl:Expressie:4237908;/70509/71189/391571/4237908;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28575;gas;2
oai:beeldengeluid.nl:Expressie:4237908;/70509/71189/391571/4237908;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28847;kreeften;2
oai:beeldengeluid.nl:Expressie:4237908;/70509/71189/391571/4237908;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/211470;Teurlings, Mark;2
oai:beeldengeluid.nl:Expressie:4237908;/70509/71189/391571/4237908;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/99739;Fortuyn, Pim;2
oai:beeldengeluid.nl:Expressie:4237908;/70509/71189/391571/4237908;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/35999;Harderwijk;2
oai:beeldengeluid.nl:Expressie:4237908;/70509/71189/391571/4237908;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/38836;Loppersum;2
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27521;casting;8
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27948;auto's;4
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25563;dromen;2
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29084;geluk;2
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26478;papier;2
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/36784;Ivoorkust;2
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/31696;Antwerpen;2
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/43834;Turnhout;3
oai:beeldengeluid.nl:Expressie:4214167;/10320/10320/392465/4214167;Namen;http://data.beeldengeluid.nl/gtaa/60452;Lotto;2
oai:beeldengeluid.nl:Expressie:4208044;/10654/10654/394113/4208044;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28052;brieven;2
oai:beeldengeluid.nl:Expressie:4208044;/10654/10654/394113/4208044;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29513;nacht;2
oai:beeldengeluid.nl:Expressie:4208044;/10654/10654/394113/4208044;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/41002;Polen;3
oai:beeldengeluid.nl:Expressie:4208044;/10654/10654/394113/4208044;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/35409;Gent;2
oai:beeldengeluid.nl:Expressie:4209750;/10654/10654/394113/4209750;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28052;brieven;2
oai:beeldengeluid.nl:Expressie:4209750;/10654/10654/394113/4209750;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28282;grootouders;2
