OAI_ID ; DOC_ID ; AS ; URI ; PREFLABEL ; SCORE
oai:beeldengeluid.nl:Expressie:4240805;/16414/16435/16435/4240805;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25670;fans;2
oai:beeldengeluid.nl:Expressie:4240805;/16414/16435/16435/4240805;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/33546;Charkov;2
oai:beeldengeluid.nl:Expressie:4240805;/16414/16435/16435/4240805;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/37511;Moskou;2
oai:beeldengeluid.nl:Expressie:4240805;/16414/16435/16435/4240805;Namen;http://data.beeldengeluid.nl/gtaa/70851;Stichting Organisatie Vrouwen in de VVD;2
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27216;verborgen camera;3
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25890;honden;3
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25487;decors;2
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28129;rubber;2
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/31236;Abu Dhabi;2
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/37877;Krim;5
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/45338;Zwarte Zee;5
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/31877;Athene;2
oai:beeldengeluid.nl:Expressie:4227518;/221117/223437/391422/4227518;Namen;http://data.beeldengeluid.nl/gtaa/52897;Engels Nationaal Ballet;2
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29036;tekeningen;15
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28339;goud;3
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26078;kleuren;2
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;Onderwerpen;http://data.beeldengeluid.nl/gtaa/30012;materialen;2
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29237;opgravingen;2
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/99333;Flinck, Govert;2
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/37877;Krim;4
oai:beeldengeluid.nl:Expressie:4229155;/221117/223437/391422/4229155;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/45338;Zwarte Zee;3
oai:beeldengeluid.nl:Expressie:4203451;/10629/10629/391634/4203451;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/31816;Aruba;2
oai:beeldengeluid.nl:Expressie:4226981;/352699/357606/394105/4226981;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/221871;Klein, Wesley;2
oai:beeldengeluid.nl:Expressie:4219243;/221117/223437/391422/4219243;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27876;beeldend kunstenaars;3
oai:beeldengeluid.nl:Expressie:4219243;/221117/223437/391422/4219243;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28006;ambtenaren;2
oai:beeldengeluid.nl:Expressie:4219243;/221117/223437/391422/4219243;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28462;hotels;2
oai:beeldengeluid.nl:Expressie:4219243;/221117/223437/391422/4219243;PersoonsNamen;http://data.beeldengeluid.nl/gtaa/127622;Luns, Joseph;2
oai:beeldengeluid.nl:Expressie:4219243;/221117/223437/391422/4219243;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/42979;Stockholm;2
oai:beeldengeluid.nl:Expressie:4219243;/221117/223437/391422/4219243;Namen;http://data.beeldengeluid.nl/gtaa/50418;Commissie voor Buitenlandse Zaken;3
oai:beeldengeluid.nl:Expressie:4240896;/16414/16435/16435/4240896;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27859;wind;2
oai:beeldengeluid.nl:Expressie:4240896;/16414/16435/16435/4240896;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/33595;Chelsea;3
oai:beeldengeluid.nl:Expressie:4240896;/16414/16435/16435/4240896;Namen;http://data.beeldengeluid.nl/gtaa/65619;Paris Saint-Germain;3
oai:beeldengeluid.nl:Expressie:4240982;/16414/16435/16435/4240982;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29291;GHB;4
oai:beeldengeluid.nl:Expressie:4240982;/16414/16435/16435/4240982;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28579;files;2
oai:beeldengeluid.nl:Expressie:4240982;/16414/16435/16435/4240982;Onderwerpen;http://data.beeldengeluid.nl/gtaa/28226;treinen;2
oai:beeldengeluid.nl:Expressie:4201655;/337028/341718/393414/4201655;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27313;vriendschap;2
oai:beeldengeluid.nl:Expressie:4201655;/337028/341718/393414/4201655;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/44373;Vlieland;3
oai:beeldengeluid.nl:Expressie:4240711;/16502/16542/16542/4240711;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26872;supporters;2
oai:beeldengeluid.nl:Expressie:4240711;/16502/16542/16542/4240711;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/44316;Vlaanderen;3
oai:beeldengeluid.nl:Expressie:4241186;/16414/16435/16435/4241186;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27948;auto's;4
oai:beeldengeluid.nl:Expressie:4241186;/16414/16435/16435/4241186;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/32181;Barcelona;2
oai:beeldengeluid.nl:Expressie:4241186;/16414/16435/16435/4241186;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/39926;Nieuw-Zeeland;2
oai:beeldengeluid.nl:Expressie:4241186;/16414/16435/16435/4241186;GeografischeNamen;http://data.beeldengeluid.nl/gtaa/35939;Hamilton (Nieuw-Zeeland);2
oai:beeldengeluid.nl:Expressie:4238346;/10377/10377/392129/4238346;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27272;vleermuizen;20
oai:beeldengeluid.nl:Expressie:4238346;/10377/10377/392129/4238346;Onderwerpen;http://data.beeldengeluid.nl/gtaa/26730;slapen;5
oai:beeldengeluid.nl:Expressie:4238346;/10377/10377/392129/4238346;Onderwerpen;http://data.beeldengeluid.nl/gtaa/27561;insecten;4
oai:beeldengeluid.nl:Expressie:4238346;/10377/10377/392129/4238346;Onderwerpen;http://data.beeldengeluid.nl/gtaa/29515;vliegen;3
oai:beeldengeluid.nl:Expressie:4238346;/10377/10377/392129/4238346;Onderwerpen;http://data.beeldengeluid.nl/gtaa/25873;hersenen;2
